Date	Time	Relative time [s]	FIC-104 setpt [sl/min]	FIC-104 [sl/min]	FIC-105 setpt [sl/min]	FIC-105 [sl/min]	FIC-106 setpt [sl/min]	FIC-106 [sl/min]	CV-101 setpt [l/min]	FI-101 [l/min]	CV-102 setpt [l/min]	FI-102 [l/min]	CV-103 setpt [l/min]	FI-103 [l/min]	dP-101 [mbar D]	dP-102 [mbar D]	dP-103 [mbar D]	CV-107 setpt [mbar G]	PI-101 [mbar G]	CV-108 setpt [mbar G]	PI-102 [mbar G]	CV-109 setpt [mbar G]	PI-103 [mbar G]	Pump output pressure setpt [bar G]	PI-104 [bar G]	TI-101 [°C]	TI-102 [°C]	TI-103 [°C]	CV-101 current [A]	CV-102 current [A]	CV-103 current [A]	CV-107 current [A]	CV-108 current [A]	CV-109 current [A]	Pump ctrl current [A]
29.07.2021	15:09:23	1,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0508	7,0000	6,6326	5,0000	4,9686	8,2000	14,4585	9,8959	0,0211	4,0000	0,0211	4,0000	0,0211	5,0000	0,4900	0,4884	23,7670	25,1167	24,3165	0,0047	0,0073	0,0053	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:24	2,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1855	7,0000	7,0014	5,0000	4,4039	9,1000	12,3585	10,1959	0,0211	3,0000	0,0211	7,0000	0,0211	2,0000	0,4900	0,4930	23,7250	25,0690	24,2780	0,0047	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:25	3,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9545	7,0000	6,6874	5,0000	4,8789	7,3000	12,6585	8,7959	0,0211	4,0000	0,0211	7,0000	0,0211	3,0000	0,4900	0,4858	23,6891	25,0268	24,2386	0,0047	0,0074	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:26	4,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0011	7,0000	6,7939	5,0000	4,9706	7,3000	12,6585	8,7959	0,0211	4,0000	0,0211	7,0000	0,0211	3,0000	0,4900	0,4881	23,6455	24,9876	24,1998	0,0047	0,0074	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:27	5,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9642	7,0000	7,1582	5,0000	4,9060	6,8000	13,1585	9,1959	0,0211	3,0000	0,0211	6,0000	0,0211	4,0000	0,4900	0,4862	23,6042	24,9406	24,1583	0,0047	0,0073	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:28	6,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,3550	7,0000	6,9687	5,0000	4,9296	6,8000	13,1585	9,1959	0,0211	3,0000	0,0211	6,0000	0,0211	4,0000	0,4900	0,4923	23,5642	24,9049	24,1112	0,0046	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:29	7,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1466	7,0000	6,8590	5,0000	5,1566	8,1000	12,5586	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	5,0000	0,4900	0,4847	23,5182	24,8589	24,0680	0,0047	0,0074	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:30	8,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8490	7,0000	7,0470	5,0000	4,8282	7,4000	12,3585	8,7959	0,0211	3,0000	0,0211	6,0000	0,0211	2,0000	0,4900	0,4929	23,4771	24,8113	24,0217	0,0047	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:31	9,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,6631	7,0000	7,0599	5,0000	4,8691	7,4000	12,3585	8,7959	0,0211	3,0000	0,0211	6,0000	0,0211	2,0000	0,4900	0,4810	23,4427	24,7645	23,9747	0,0048	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:32	10,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2669	7,0000	6,9046	5,0000	4,9660	8,3000	12,3585	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4850	23,3994	24,7184	23,9350	0,0047	0,0074	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:33	11,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0149	7,0000	6,7658	5,0000	4,7938	7,8000	11,8585	9,0959	0,0211	3,0000	0,0211	6,0000	0,0211	4,0000	0,4900	0,4892	23,3636	24,6804	23,8861	0,0047	0,0074	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:34	12,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8982	7,0000	6,9374	5,0000	4,7585	7,8000	11,8585	9,0959	0,0211	3,0000	0,0211	6,0000	0,0211	4,0000	0,4900	0,4942	23,3263	24,6326	23,8449	0,0047	0,0074	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:35	13,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2511	7,0000	6,7074	5,0000	4,8589	6,5000	13,1585	8,8959	0,0211	3,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4871	23,2840	24,5894	23,8026	0,0046	0,0075	0,0056	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:36	14,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2014	7,0000	6,5050	5,0000	5,1202	6,5000	13,1585	8,8959	0,0211	3,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4937	23,2457	24,5538	23,7667	0,0046	0,0076	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:37	15,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,4693	7,0000	6,6884	5,0000	4,9932	7,7000	12,3585	8,7959	0,0211	4,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4835	23,2049	24,5062	23,7216	0,0045	0,0076	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:38	16,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1527	7,0000	6,2514	5,0000	4,9537	7,9000	12,0586	8,6959	0,0211	3,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4864	23,1631	24,4670	23,6816	0,0046	0,0077	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:39	17,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9130	7,0000	8,3530	5,0000	5,0900	7,9000	12,0586	8,6959	0,0211	3,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4637	23,1252	24,4207	23,6421	0,0046	0,0072	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:40	18,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8751	7,0000	7,5958	5,0000	4,6114	6,8000	18,4585	10,4959	0,0211	4,0000	0,0211	-3,0000	0,0211	4,0000	0,4900	0,4865	23,0851	24,3738	23,6008	0,0046	0,0073	0,0056	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:41	19,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1850	7,0000	8,5293	5,0000	5,0516	6,8000	18,4585	10,4959	0,0211	4,0000	0,0211	-3,0000	0,0211	4,0000	0,4900	0,4833	23,0463	24,3349	23,5580	0,0046	0,0070	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:42	20,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1563	7,0000	6,8365	5,0000	5,4128	8,0000	12,0586	8,7959	0,0211	5,0000	0,0211	7,0000	0,0211	5,0000	0,4900	0,4940	23,0009	24,2991	23,5194	0,0046	0,0072	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:43	21,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9007	7,0000	6,5936	5,0000	5,1090	8,5000	12,7585	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4827	22,9621	24,2583	23,4778	0,0046	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:44	22,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1087	7,0000	6,7606	5,0000	5,2519	8,5000	12,7585	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4908	22,9169	24,2166	23,4379	0,0046	0,0073	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:45	23,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,6682	7,0000	7,4841	5,0000	5,1863	6,3000	12,1585	8,7959	0,0211	3,0000	0,0211	5,0000	0,0211	4,0000	0,4900	0,4867	22,8757	24,1729	23,4000	0,0047	0,0072	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:46	24,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,3110	7,0000	7,4672	5,0000	5,2960	8,4000	15,8586	9,3959	0,0211	4,0000	0,0211	9,0000	0,0211	4,0000	0,4900	0,4862	22,8337	24,1257	23,3577	0,0045	0,0071	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:47	25,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8270	7,0000	6,2739	5,0000	5,1500	8,4000	15,8586	9,3959	0,0211	4,0000	0,0211	9,0000	0,0211	4,0000	0,4900	0,4862	22,7923	24,0882	23,3152	0,0046	0,0074	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:48	26,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,0057	7,0000	6,8303	5,0000	4,5263	6,9000	12,7585	9,7959	0,0211	4,0000	0,0211	7,0000	0,0211	4,0000	0,4900	0,4837	22,7502	24,0459	23,2736	0,0046	0,0073	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:49	27,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,3264	7,0000	7,4994	5,0000	4,8210	6,2000	12,1585	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	2,0000	0,4900	0,4942	22,7104	24,0021	23,2277	0,0046	0,0070	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:50	28,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,9048	7,0000	7,8960	5,0000	5,1105	6,2000	12,1585	9,2959	0,0211	4,0000	0,0211	7,0000	0,0211	2,0000	0,4900	0,4876	22,6661	23,9676	23,1876	0,0046	0,0070	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:51	29,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	4,8961	7,0000	7,0655	5,0000	4,9183	8,4000	11,9585	8,4959	0,0211	2,0000	0,0211	7,0000	0,0211	3,0000	0,4900	0,4922	22,6214	23,9239	23,1521	0,0046	0,0071	0,0055	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:52	30,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,2260	7,0000	6,9825	5,0000	5,1095	7,5000	11,9585	8,7959	0,0211	3,0000	0,0211	7,0000	0,0211	3,0000	0,4900	0,4853	22,5816	23,8776	23,1102	0,0045	0,0071	0,0054	0,0200	0,0200	0,0200	0,0127
29.07.2021	15:09:53	31,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,0000	5,1758	7,0000	6,8667	5,0000	4,7631	7,5000	11,9585	8,7959	0,0211	3,0000	0,0211	7,0000	0,0211	3,0000	0,4900	0,4895	22,5412	23,8245	23,0699	0,0045	0,0072	0,0055	0,0200	0,0200	0,0200	0,0127
