Date	Time	Relative time [s]	FIC-104 setpt [sl/min]	FIC-104 [sl/min]	FIC-105 setpt [sl/min]	FIC-105 [sl/min]	FIC-106 setpt [sl/min]	FIC-106 [sl/min]	CV-101 setpt [l/min]	FI-101 [l/min]	CV-102 setpt [l/min]	FI-102 [l/min]	CV-103 setpt [l/min]	FI-103 [l/min]	dP-101 [mbar D]	dP-102 [mbar D]	dP-103 [mbar D]	CV-107 setpt [mbar G]	PI-101 [mbar G]	CV-108 setpt [mbar G]	PI-102 [mbar G]	CV-109 setpt [mbar G]	PI-103 [mbar G]	Pump output pressure setpt [bar G]	PI-104 [bar G]	TI-101 [°C]	TI-102 [°C]	TI-103 [°C]	CV-101 current [A]	CV-102 current [A]	CV-103 current [A]	CV-107 current [A]	CV-108 current [A]	CV-109 current [A]	Pump ctrl current [A]
29.07.2021	16:43:15	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,0372	13,0000	12,8627	11,0000	10,8931	50,5000	46,7585	42,6959	0,0211	21,0000	0,0211	24,0000	0,0211	19,0000	0,4900	0,4439	23,2046	24,9564	24,0819	0,0114	0,0120	0,0103	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:16	2,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,1314	13,0000	12,8883	11,0000	11,0422	50,7000	45,1585	42,3959	0,0211	21,0000	0,0211	22,0000	0,0211	17,0000	0,4900	0,4571	23,1956	24,9430	24,0645	0,0114	0,0120	0,0103	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:17	3,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,9685	13,0000	13,0169	11,0000	10,7865	50,7000	45,1585	42,3959	0,0211	21,0000	0,0211	22,0000	0,0211	17,0000	0,4900	0,4442	23,1856	24,9341	24,0519	0,0114	0,0119	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:18	4,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,7662	13,0000	12,9636	11,0000	10,9741	49,4000	45,3586	43,0959	0,0211	21,0000	0,0211	21,0000	0,0211	18,0000	0,4900	0,4476	23,1412	24,8966	24,0130	0,0114	0,0120	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:19	5,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,9767	13,0000	13,0732	11,0000	10,8619	49,4000	45,3586	43,0959	0,0211	21,0000	0,0211	21,0000	0,0211	18,0000	0,4900	0,4414	23,0971	24,8496	23,9764	0,0114	0,0119	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:20	6,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,6064	13,0000	12,9451	11,0000	11,0397	48,8000	45,8586	42,5959	0,0211	20,0000	0,0211	21,0000	0,0211	18,0000	0,4900	0,4558	23,0594	24,8062	23,9412	0,0115	0,0120	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:21	7,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	13,1632	13,0000	13,1193	11,0000	10,7871	51,1000	44,9586	42,4959	0,0211	19,0000	0,0211	22,0000	0,0211	17,0000	0,4900	0,4559	23,0203	24,7630	23,9036	0,0114	0,0119	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:22	8,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,6484	13,0000	12,7761	11,0000	11,1621	51,1000	44,9586	42,4959	0,0211	19,0000	0,0211	22,0000	0,0211	17,0000	0,4900	0,4444	22,9821	24,7212	23,8549	0,0115	0,0120	0,0103	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:23	9,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,8072	13,0000	13,0394	11,0000	10,9546	49,5000	46,4586	41,7959	0,0211	22,0000	0,0211	22,0000	0,0211	18,0000	0,4900	0,4611	22,9440	24,6806	23,8135	0,0115	0,0120	0,0104	0,0200	0,0200	0,0200	0,0127
29.07.2021	16:43:24	10,0010	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,0000	12,7370	13,0000	13,0307	11,0000	10,9515	49,5000	46,4586	41,7959	0,0211	22,0000	0,0211	22,0000	0,0211	18,0000	0,4900	0,4498	22,9087	24,6405	23,7744	0,0116	0,0120	0,0104	0,0200	0,0200	0,0200	0,0127
