Flowrate,Well,FW,WF,Weights,,C0,k1,k2,T1,T2,E1,E2,E,W2F,Life
5,2,0.892857143,1.12,5.6,0.892857143,2.034809573,1.31E-05,0.00039455,1521.145502,879.6805847,0.019861742,0.347078041,0.366939783,6.272,2400.826087
9,3,1.621621622,0.616666667,5.55,1.621621622,1.722879772,5.98E-05,0.000891873,981.9288536,308.156599,0.058714583,0.274836447,0.33355103,3.4225,1290.085453
9,1,2.25,0.444444444,4,2.25,1.799931271,1.81E-05,0.001074865,772.8750297,300.1249264,0.013975454,0.322593812,0.336569266,1.777777778,1072.999956
9,2,1.8,0.555555556,5,1.8,1.863103161,4.37E-05,0.00046953,761.7465973,464.4180345,0.033257445,0.218058245,0.25131569,2.777777778,1226.164632
5,1,1.030927835,0.97,4.85,1.030927835,1.815983876,4.68E-05,0.000691848,1404.387133,612.6165564,0.065772932,0.423837279,0.489610211,4.7045,2017.00369
13,2,2.5,0.4,5.2,2.5,1.855709758,1.37E-05,0.000740232,820.6902167,265.2994895,0.011274981,0.196383267,0.207658248,2.08,1085.989706
5,3,0.99009901,1.01,5.05,0.99009901,1.618917727,2.01E-05,0.000319876,1473.752135,830.6943761,0.029654305,0.265719556,0.295373861,5.1005,2304.446511
9,1,1.417322835,0.705555556,6.35,1.417322835,1.760873989,0.000103627,0.00040989,1013.999533,608.3271733,0.105077557,0.249346942,0.354424498,4.480277778,1622.326707
9,2,1.384615385,0.722222222,6.5,1.384615385,1.861732624,4.95E-05,0.000299539,1213.003234,585.7314292,0.060008669,0.175449357,0.235458026,4.694444444,1798.734663
9,3,1.487603306,0.672222222,6.05,1.487603306,1.664549452,6.96E-05,0.000185049,732.9989934,1076.663758,0.051025924,0.199235968,0.250261892,4.066944444,1809.662752
11,2,1.848739496,0.540909091,5.95,1.848739496,1.870524337,5.38E-05,0.000853495,1044.001691,305.6980492,0.056118572,0.260911866,0.317030438,3.218409091,1349.69974
7,2,1.044776119,0.957142857,6.7,1.044776119,1.93987628,4.92E-05,0.000149447,1008.734927,1296.208505,0.049597491,0.193714914,0.243312404,6.412857143,2304.943432
11,3,1.88034188,0.531818182,5.85,1.88034188,1.68271182,9.35E-05,0.000344,893.0003999,540.1034478,0.08352528,0.185795534,0.269320814,3.111136364,1433.103848
