Date	Time	Relative time [s]	FIC-104 setpt [sl/min]	FIC-104 [sl/min]	FIC-105 setpt [sl/min]	FIC-105 [sl/min]	FIC-106 setpt [sl/min]	FIC-106 [sl/min]	CV-101 setpt [l/min]	FI-101 [l/min]	CV-102 setpt [l/min]	FI-102 [l/min]	CV-103 setpt [l/min]	FI-103 [l/min]	dP-101 [mbar D]	dP-102 [mbar D]	dP-103 [mbar D]	CV-107 setpt [mbar G]	PI-101 [mbar G]	CV-108 setpt [mbar G]	PI-102 [mbar G]	CV-109 setpt [mbar G]	PI-103 [mbar G]	Pump output pressure setpt [bar G]	PI-104 [bar G]	TI-101 [°C]	TI-102 [°C]	TI-103 [°C]	CV-101 current [A]	CV-102 current [A]	CV-103 current [A]	CV-107 current [A]	CV-108 current [A]	CV-109 current [A]	Pump ctrl current [A]
08.07.2021	16:46:05	0,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,8614	9,0000	8,9202	9,0000	8,9664	25,9000	22,7585	28,9959	0,0211	10,0000	0,0211	12,0000	0,0211	12,0000	0,3500	0,4035	17,7993	19,2844	18,7944	0,0092	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:06	1,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0714	9,0000	8,6097	9,0000	8,8168	25,9000	22,7585	28,9959	0,0211	10,0000	0,0211	12,0000	0,0211	12,0000	0,3500	0,4059	17,7342	19,2271	18,7336	0,0091	0,0097	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:07	2,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0033	9,0000	8,9709	9,0000	8,9260	26,9000	23,0586	29,0959	0,0211	10,0000	0,0211	14,0000	0,0211	10,0000	0,3500	0,3996	17,6642	19,1605	18,6663	0,0091	0,0097	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:08	3,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,3894	9,0000	8,9361	9,0000	8,8271	25,7000	22,3586	28,9959	0,0211	10,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,4038	17,5984	19,0956	18,5922	0,0090	0,0097	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:09	4,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,3866	9,0000	9,5150	9,0000	9,2232	25,7000	22,3586	28,9959	0,0211	10,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,4057	17,5299	19,0304	18,5312	0,0092	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:10	5,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,6509	9,0000	9,1886	9,0000	9,1437	26,9000	22,6585	29,2959	0,0211	11,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4086	17,4632	18,9570	18,4668	0,0092	0,0096	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:11	6,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9223	9,0000	9,1174	9,0000	8,9900	26,9000	22,6585	29,2959	0,0211	11,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3983	17,3979	18,8933	18,3971	0,0092	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:12	7,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,8926	9,0000	9,1589	9,0000	8,9480	26,0000	24,3586	28,7959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3925	17,3349	18,8255	18,3308	0,0092	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:13	8,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,5318	9,0000	8,9986	9,0000	8,9511	26,0000	24,3586	28,7959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3987	17,2685	18,7621	18,2640	0,0091	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:14	9,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0448	9,0000	9,2819	9,0000	9,0423	25,8000	23,7585	28,7959	0,0211	10,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,3971	17,2117	18,6953	18,1918	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:15	10,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9259	9,0000	9,3833	9,0000	8,8824	25,8000	23,7585	28,7959	0,0211	10,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,3978	17,1574	18,6294	18,1251	0,0092	0,0094	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:16	11,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1293	9,0000	9,2640	9,0000	8,8250	26,4000	23,6585	29,0959	0,0211	12,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3916	17,1041	18,5620	18,0522	0,0091	0,0094	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:17	12,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,2471	9,0000	8,9791	9,0000	9,0295	26,4000	23,6585	29,0959	0,0211	12,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3990	17,0658	18,5168	17,9886	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:18	13,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1262	9,0000	8,7163	9,0000	8,8209	25,9000	23,8586	28,9959	0,0211	11,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4003	17,0240	18,4849	17,9270	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:19	15,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,8327	9,0000	9,0846	9,0000	9,0120	26,5000	23,4585	29,1959	0,0211	11,0000	0,0211	14,0000	0,0211	12,0000	0,3500	0,4116	16,9793	18,4510	17,8581	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:20	15,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0232	9,0000	8,9350	9,0000	9,1637	26,5000	23,4585	29,1959	0,0211	11,0000	0,0211	14,0000	0,0211	12,0000	0,3500	0,3996	16,9383	18,4194	17,8145	0,0092	0,0096	0,0100	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:21	17,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,6478	9,0000	8,6845	9,0000	8,6867	26,5000	23,1585	28,6959	0,0211	12,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,4039	16,8992	18,3806	17,7757	0,0092	0,0096	0,0100	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:22	17,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9802	9,0000	9,1364	9,0000	9,0382	26,5000	23,1585	28,6959	0,0211	12,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,4099	16,8614	18,3381	17,7361	0,0092	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:23	18,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,7907	9,0000	8,8449	9,0000	8,9531	26,2000	22,9585	28,8959	0,0211	12,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,4037	16,8265	18,3081	17,6989	0,0092	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:24	19,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,2384	9,0000	8,9115	9,0000	8,8271	26,4000	23,8586	29,1959	0,0211	11,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,3982	16,7883	18,2769	17,6617	0,0091	0,0096	0,0100	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:25	20,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9111	9,0000	8,8208	9,0000	8,9444	26,4000	23,8586	29,1959	0,0211	11,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,3979	16,7604	18,2483	17,6229	0,0092	0,0096	0,0100	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:26	21,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,4683	9,0000	9,1062	9,0000	8,7522	26,3000	23,6585	28,7959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3977	16,7296	18,2150	17,5858	0,0090	0,0095	0,0100	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:27	22,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9223	9,0000	9,2634	9,0000	9,4594	25,8000	23,5586	32,6959	0,0211	9,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,3979	16,7006	18,1791	17,5504	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:28	24,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,8865	9,0000	9,0001	9,0000	9,3769	25,8000	23,5586	32,6959	0,0211	9,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,4001	16,6818	18,1502	17,5119	0,0092	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:29	24,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9060	9,0000	9,2219	9,0000	8,9951	26,3000	22,4585	29,3959	0,0211	11,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4036	16,6659	18,1244	17,4841	0,0092	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:30	25,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9131	9,0000	8,8192	9,0000	9,0843	26,3000	22,4585	29,3959	0,0211	11,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3882	16,6529	18,0968	17,4545	0,0092	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:31	26,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1969	9,0000	8,9468	9,0000	9,1202	25,9000	24,0586	29,5959	0,0211	11,0000	0,0211	14,0000	0,0211	10,0000	0,3500	0,4040	16,6316	18,0786	17,4360	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:32	28,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,7631	9,0000	8,8884	9,0000	8,9495	25,9000	24,0586	29,5959	0,0211	11,0000	0,0211	14,0000	0,0211	10,0000	0,3500	0,4016	16,6249	18,0651	17,4160	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:33	28,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0499	9,0000	9,1722	9,0000	8,9782	25,5000	23,8586	29,6959	0,0211	10,0000	0,0211	14,0000	0,0211	11,0000	0,3500	0,4014	16,6143	18,0526	17,3953	0,0092	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:34	30,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,8015	9,0000	8,8623	9,0000	8,9792	26,0000	23,1585	28,9959	0,0211	11,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,3878	16,6062	18,0474	17,3843	0,0092	0,0096	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:35	30,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,5651	9,0000	8,9484	9,0000	9,2472	26,0000	23,1585	28,9959	0,0211	11,0000	0,0211	13,0000	0,0211	12,0000	0,3500	0,3962	16,5952	18,0360	17,3709	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:36	31,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0320	9,0000	9,0734	9,0000	9,1109	25,7000	23,3586	30,2959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4017	16,5873	18,0210	17,3619	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:37	33,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0668	9,0000	9,0857	9,0000	8,9424	25,7000	23,3586	30,2959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4019	16,5775	18,0083	17,3480	0,0091	0,0095	0,0099	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:38	33,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,7205	9,0000	8,9063	9,0000	9,1914	25,9000	23,2585	29,3959	0,0211	10,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,4063	16,5653	18,0010	17,3408	0,0092	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:39	35,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9925	9,0000	9,1282	9,0000	9,1514	26,1000	23,9585	30,9959	0,0211	11,0000	0,0211	14,0000	0,0211	12,0000	0,3500	0,4031	16,5660	17,9957	17,3293	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:40	35,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,2353	9,0000	8,9945	9,0000	8,9818	26,1000	23,9585	30,9959	0,0211	11,0000	0,0211	14,0000	0,0211	12,0000	0,3500	0,4036	16,5594	17,9901	17,3182	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:41	36,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,9490	9,0000	9,1430	9,0000	8,8522	26,3000	23,4585	29,5959	0,0211	10,0000	0,0211	14,0000	0,0211	11,0000	0,3500	0,4052	16,5562	17,9875	17,3100	0,0091	0,0095	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:42	38,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	8,7472	9,0000	9,2066	9,0000	8,9429	26,3000	23,4585	29,5959	0,0211	10,0000	0,0211	14,0000	0,0211	11,0000	0,3500	0,3967	16,5473	17,9830	17,3015	0,0092	0,0094	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:43	39,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1323	9,0000	9,1953	9,0000	8,9511	26,5000	23,8586	29,7959	0,0211	10,0000	0,0211	13,0000	0,0211	10,0000	0,3500	0,4060	16,5356	17,9766	17,2946	0,0091	0,0094	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:44	39,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,0478	9,0000	9,4423	9,0000	9,1832	25,7000	22,7585	29,3959	0,0211	11,0000	0,0211	14,0000	0,0211	11,0000	0,3500	0,3993	16,5297	17,9691	17,2917	0,0091	0,0094	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:45	40,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1610	9,0000	8,5144	9,0000	9,2493	25,7000	22,7585	29,3959	0,0211	11,0000	0,0211	14,0000	0,0211	11,0000	0,3500	0,4041	16,5222	17,9641	17,2832	0,0091	0,0095	0,0097	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:46	42,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,1395	9,0000	9,1804	9,0000	9,1114	25,8000	23,1585	29,4959	0,0211	12,0000	0,0211	13,0000	0,0211	11,0000	0,3500	0,3992	16,5146	17,9582	17,2759	0,0090	0,0094	0,0098	0,0200	0,0200	0,0200	0,0117
08.07.2021	16:46:47	42,9990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,0000	9,2005	9,0000	9,2947	9,0000	9,0653	26,2000	23,0586	30,0959	0,0211	11,0000	0,0211	14,0000	0,0211	12,0000	0,3500	0,4021	16,5044	17,9484	17,2705	0,0090	0,0094	0,0098	0,0200	0,0200	0,0200	0,0117
